Wahlkreiscode,Wahlkreis,AfDShare2017,AvgNetFortzuege2014-2017,FortzuegeProzentFrom2013Population,Arbeitslos,EastWest,Ausbildung
12068,"Ostprignitz-Ruppin, Landkreis",18.48410670573731,-70.83333333333333,-0.07158931651573947,0.04023428065373159,1,0.0027996940665002816
6533,"Limburg-Weilburg, Landkreis",12.702071392556158,-122.05555555555556,-0.07181259299354875,0.023823784242692082,0,0.003656430444667996
3456,"Grafschaft Bentheim, Landkreis",5.253278270896463,-97,-0.07256242612845794,0.020175328833570098,0,0.0029736712326750526
3158,"Wolfenb�ttel, Landkreis",9.872300542820323,-87.44444444444444,-0.07293114632564165,0.028379982895621776,0,0.0028247133356028463
16071,"Weimarer Land, Kreis",23.710729104919974,-59.888888888888886,-0.07329982484197703,0.024570503220464866,1,0.0016217993205975818
7337,"S�dliche Weinstra�e, Landkreis",12.19250111036291,-80.88888888888889,-0.07419229256222269,0.02231020954240567,0,0.0036177252264468188
3252,"Hameln-Pyrmont, Landkreis",10.539949809762811,-116.5,-0.07884673953504112,0.0349908291525058,0,0.00325295355235475
7143,Westerwaldkreis,10.826102721071226,-157.88888888888889,-0.07945934097395557,0.018449156631300395,0,0.0023875964365123186
1057,"Pl�n, Landkreis",7.686135495383289,-103.11111111111111,-0.08141872121720986,0.02536439980751618,0,0.0025783517796991663
7231,"Bernkastel-Wittlich, Landkreis",8.392854468951679,-91.16666666666667,-0.08239713914722713,0.019619383951343928,0,0.003069541798205718
9679,"W�rzburg, Landkreis",9.140848786371174,-132.66666666666666,-0.08365914154790423,0.01197471178876906,0,0.0005689847526961695
16070,Ilm-Kreis,25.0458632823073,-91.83333333333333,-0.08428324063706498,0.030414407791969127,1,0.0020931728383717725
1058,"Rendsburg-Eckernf�rde, Landkreis",7.345234195872911,-230,-0.0857968852000373,0.024796536542842702,0,0.003413644321703013
12067,"Oder-Spree, Landkreis",22.137061259674308,-151.83333333333334,-0.0858543021392895,0.03825127420141634,1,0.0028259516560413126
8437,"Sigmaringen, Landkreis",12.881119455045345,-109.38888888888889,-0.08606453835051585,0.017766068575642127,0,0.0036438490844291505
5970,"Siegen-Wittgenstein, Kreis",10.657372374331352,-237.27777777777777,-0.08631295935227508,0.028570709087442487,0,0.005324900981016415
7332,"Bad D�rkheim, Landkreis",12.355752695186025,-113.22222222222223,-0.08640213537917306,0.020965955747745575,0,0.002692501826893377
7141,Rhein-Lahn-Kreis,10.919798169379956,-104.94444444444444,-0.08646298203455764,0.018818280615455013,0,0.003577352693637084
9678,"Schweinfurt, Landkreis",11.970195341343896,-98.94444444444444,-0.08755603143561402,0.014560618565657444,0,0
8225,"Neckar-Odenwald-Kreis, Landkreis",14.068241469816273,-124.44444444444444,-0.08789442623774212,0.019975449168619572,0,0.0032655395603169287
9474,"Forchheim, Landkreis",11.79641127106502,-100.38888888888889,-0.08850762527233118,0.01552545361813954,0,0.0030566817368452904
1059,"Schleswig-Flensburg, Landkreis",6.560555803092562,-173.33333333333334,-0.08882739300142621,0.031267700235084184,0,0.002667629058209651
1055,"Ostholstein, Landkreis",8.459928972831706,-177.61111111111111,-0.08977739586580297,0.028651338092769114,0,0.0033033542057192998
5566,"Steinfurt, Kreis",6.491264100282196,-390.8888888888889,-0.08996685445137732,0.024840728673317432,0,0.004676138971930178
14729,"Leipzig, Landkreis",26.866636133784215,-233.77777777777777,-0.09075365214435699,0.031584291959939226,1,0.001837927506123841
3153,"Goslar, Landkreis",11.136708923812607,-125.94444444444444,-0.09137466676662653,0.035292920334683016,0,0.0024367017293894433
3151,"Gifhorn, Landkreis",11.420631562752414,-157.55555555555554,-0.09188252255754813,0.025188629133134185,0,0.002618246620097213
9372,"Cham, Landkreis",18.00956094434355,-117.05555555555556,-0.09323198613777103,0.015077863027038063,0,0.002208278689168283
3351,"Celle, Landkreis",11.739981575310916,-168.88888888888889,-0.0962044800907359,0.035846143518829296,0,0.0025989572844644336
16054,"Suhl, kreisfreie Stadt",19.855286333127054,-34.388888888888886,-0.09642195118151946,0.027156912927259285,1,0.0015298868224990047
7138,"Neuwied, Landkreis",10.642290113062304,-174.16666666666666,-0.09705365534714551,0.028383474168065838,0,0.0027271476149844484
9276,"Regen, Landkreis",20.67972221601947,-75.05555555555556,-0.0984244797927476,0.01991250371020403,0,0.0019899598652711997
14730,"Nordsachsen, Landkreis",26.85328963736349,-194.38888888888889,-0.09850156014760328,0.0418920695268815,1,0.0021699343761691454
3356,"Osterholz, Landkreis",9.588670651864502,-110.44444444444444,-0.09960538630656404,0.019795764997126562,0,0.0036638521727598247
7133,"Bad Kreuznach, Landkreis",11.555954977368128,-156.05555555555554,-0.10048845473869789,0.03331027172498715,0,0.0038083389929482255
7334,"Germersheim, Landkreis",16.31823222573623,-126.27777777777777,-0.10067268665415903,0.023428317909042085,0,0.0023786358647851368
9576,"Roth, Landkreis",11.710847687369727,-125.66666666666667,-0.1018112683739632,0.01337816512160887,0,0.002242646767273852
9577,"Wei�enburg-Gunzenhausen, Landkreis",11.31059579287425,-94.05555555555556,-0.10186779689980117,0.01716414741847826,0,0.0027938179347826086
6632,"Hersfeld-Rotenburg, Landkreis",14.688530156619176,-122.27777777777777,-0.10219536633858271,0.02321202962816162,0,0.0029595131336652876
8128,"Main-Tauber-Kreis, Landkreis",13.573319883999496,-133.55555555555554,-0.10284817572834398,0.01683952522524567,0,0.0027112694702282336
5974,"Soest, Kreis",9.339935518910986,-307.1111111111111,-0.10411569649596414,0.0317707073084228,0,0.0052516962607683975
16067,"Gotha, Kreis",23.224904253174763,-142.33333333333334,-0.10531118592233603,0.03085130717748541,1,0.0028423639140797365
13074,Landkreis Nordwestmecklenburg,16.972348734935043,-164.27777777777777,-0.1058047710545054,0.03627550272942106,1,0.002433229507048085
3254,"Hildesheim, Landkreis",9.325775266344618,-293.6111111111111,-0.1069547503491967,0.033986408328513594,0,0.003827356853672643
1054,"Nordfriesland, Landkreis",5.805913694228657,-176.22222222222223,-0.10883087777661123,0.03417098790054514,0,0.00317293396671139
5358,"D�ren, Kreis",9.612745946954055,-281.27777777777777,-0.10885994844041946,0.037510127848635735,0,0.00475181540498081
7134,"Birkenfeld, Landkreis",12.037983307784023,-87.94444444444444,-0.10901347965793336,0.03216975522743038,0,0.0025418689921712415
3257,"Schaumburg, Landkreis",10.271426013502838,-173.33333333333334,-0.11139745970946667,0.030547937396679818,0,0.004161309323993083
3457,"Leer, Landkreis",9.220794064776234,-185.11111111111111,-0.11233015626432796,0.03079682265339221,0,0.0020882412131687047
8136,"Ostalbkreis, Landkreis",12.263483492661834,-344.94444444444446,-0.11238428075327331,0.016989840664229792,0,0.003483109384102272
3454,"Emsland, Landkreis",6.300585300273796,-356.44444444444446,-0.11362988324246127,0.01645058028155088,0,0.0030015202264272204
8237,"Freudenstadt, Landkreis",14.68393829816451,-132.44444444444446,-0.11537676029413323,0.01786200790083095,0,0.0023242746219861053
13073,Landkreis Vorpommern-R�gen,20.4549526740155,-257.72222222222223,-0.1155140412185175,0.04972392869675688,1,0.0019162857637824654
9773,"Dillingen a.d.Donau, Landkreis",16.61968717183441,-107.88888888888889,-0.11584886435899551,0.011874862072951586,0,0.0032051618869471097
8336,"L�rrach, Landkreis",10.854006261452625,-259,-0.11669662931473397,0.017835086766470738,0,0.0030896046672564976
